region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type
chicago,4300,2007,mercury,milan premier,excellent,6,gas,93557,clean,automatic,fwd,sedan
chicago,6999,2010,toyota,,excellent,4,gas,119878,clean,automatic,fwd,sedan
chicago,5900,2007,chevrolet,silverado 1500,good,8,gas,200000,clean,automatic,4wd,truck
chicago,9995,2007,audi,s8,good,10,gas,112722,clean,automatic,4wd,sedan
chicago,3600,2007,honda,accord,good,4,gas,140000,clean,automatic,fwd,SUV
chicago,45000,2018,dodge,charger r/t scat pack,like new,8,gas,1007,clean,automatic,rwd,coupe
chicago,10900,2015,dodge,durango,good,6,gas,105000,clean,automatic,4wd,SUV
chicago,18985,2015,audi,q5,fair,4,gas,57721,clean,automatic,4wd,SUV
chicago,5800,2009,saturn,outlook xr awd,excellent,6,gas,162000,clean,automatic,fwd,SUV
chicago,9600,2016,subaru,impreza,excellent,4,gas,44000,rebuilt,automatic,4wd,sedan
chicago,5900,2008,ford,f450 super duty,excellent,8,diesel,135000,rebuilt,automatic,4wd,truck
chicago,69000,2014,mercedes-benz,e63 amg,like new,8,gas,30500,clean,automatic,4wd,sedan
chicago,4500,2005,jeep,grand cherokee,excellent,4,gas,122000,clean,automatic,fwd,SUV
chicago,8700,2008,honda,odyssey touring,like new,6,gas,107756,clean,automatic,fwd,van
chicago,3999,1999,honda,accord,excellent,6,gas,166857,clean,automatic,fwd,coupe
chicago,1200,2007,kia,rio,fair,4,gas,169000,clean,automatic,rwd,sedan
chicago,59995,2019,gmc,savana g3500 l quigley,like new,8,gas,1500,clean,automatic,4wd,van
chicago,11250,2014,buick,regal,excellent,4,gas,85809,clean,automatic,4wd,sedan
chicago,6495,2011,nissan,rogue,excellent,4,gas,69854,clean,automatic,4wd,SUV
chicago,5900,1995,ford,f250 xlt,like new,8,gas,160,clean,automatic,4wd,truck
chicago,17800,2014,infiniti,q50,fair,6,gas,63816,clean,automatic,4wd,sedan
chicago,2995,2005,buick,,excellent,6,gas,139000,clean,automatic,4wd,SUV
chicago,1100,2006,ford,fusion,good,4,gas,186000,clean,manual,fwd,sedan
chicago,3200,2003,kia,rio,good,4,gas,41567,clean,automatic,fwd,SUV
chicago,1850,2000,honda,odyssey,good,6,gas,302600,clean,automatic,fwd,van
chicago,4595,2011,nissan,sentra s,good,4,gas,82000,clean,automatic,fwd,sedan
chicago,2850,2008,ford,taurus sel,good,6,gas,56000,clean,automatic,fwd,sedan
chicago,8490,2012,chevrolet,traverse,excellent,6,gas,83181,clean,automatic,fwd,SUV
chicago,20990,2007,chevrolet,express cargo van,good,8,gas,133355,clean,automatic,rwd,truck
chicago,750,2002,ford,econoline e350,good,8,gas,207071,clean,automatic,rwd,van
chicago,4000,2007,volvo,xc90,good,6,gas,193000,clean,automatic,4wd,SUV
chicago,6950,2009,honda,fit,excellent,4,gas,74210,clean,automatic,fwd,sedan
chicago,16499,2019,hyundai,sonata,fair,4,gas,32948,clean,automatic,fwd,sedan
chicago,5954,2007,chevrolet,malibu ltz,excellent,6,gas,133728,clean,automatic,fwd,sedan
chicago,7000,2013,kia,sorento lx,good,4,gas,104206,clean,automatic,fwd,SUV
chicago,1700,2003,hyundai,santa fe,fair,6,gas,190000,clean,automatic,fwd,SUV
chicago,2800,2005,lincoln,town car,good,8,gas,235000,clean,automatic,rwd,sedan
chicago,15500,2002,harley-davidson,davidson,excellent,8,gas,168000,clean,automatic,fwd,truck
chicago,2500,2006,buick,lacrosse,good,6,gas,140000,clean,automatic,fwd,sedan
chicago,15000,1987,buick,regal,like new,8,gas,72000,clean,automatic,rwd,coupe
chicago,3500,1997,bmw,740il,good,8,gas,135000,clean,automatic,rwd,sedan
chicago,2800,1998,buick,lesabre custom,fair,6,gas,151210,clean,automatic,fwd,sedan
chicago,7500,2009,lexus,rx 350,excellent,6,gas,184000,clean,automatic,fwd,SUV
chicago,8995,2011,toyota,,excellent,6,gas,158859,clean,automatic,fwd,van
chicago,10950,2015,volkswagen,golf,excellent,4,diesel,103614,clean,automatic,fwd,sedan
chicago,17000,2013,gmc,acadia,excellent,6,gas,99137,clean,automatic,4wd,SUV
chicago,11457,2012,volkswagen,jetta,fair,4,gas,70390,clean,automatic,fwd,sedan
chicago,500,2011,jeep,wrangler,like new,6,gas,110000,clean,automatic,4wd,truck
chicago,6600,2012,toyota,yaris le,excellent,4,gas,71000,clean,automatic,fwd,coupe
chicago,14989,2012,toyota,highlander,fair,6,gas,110224,clean,automatic,4wd,SUV
chicago,16497,2017,honda,civic,fair,4,gas,42615,clean,automatic,fwd,sedan
chicago,6500,2008,mercedes-benz,benz e350,excellent,6,gas,140000,clean,automatic,rwd,sedan
chicago,12500,2009,ford,ranger,good,4,gas,65730,clean,automatic,rwd,truck
chicago,6500,2010,ford,transit connect,good,4,gas,84000,clean,automatic,fwd,van
chicago,5800,2010,subaru,outback 2.5i limited,good,4,gas,201607,clean,automatic,4wd,SUV
chicago,23475,2014,chevrolet,express,good,8,gas,71847,clean,automatic,4wd,van
chicago,15997,2017,mazda,mazda6,fair,4,gas,36296,clean,automatic,fwd,sedan
chicago,4100,2005,ford,five hundred,like new,6,gas,86500,clean,automatic,fwd,sedan
chicago,6500,2009,volkswagen,beetle,excellent,4,gas,56647,clean,automatic,fwd,sedan
chicago,15995,2013,ford,f-150,good,4,gas,130254,clean,automatic,fwd,truck
chicago,12250,2016,mazda,mazda3,excellent,4,gas,56985,clean,automatic,fwd,sedan
chicago,4400,2005,ford,explorer,good,8,gas,174000,clean,automatic,4wd,SUV
chicago,1700,1995,cadillac,eldorado,good,8,gas,93117,clean,automatic,fwd,coupe
chicago,3999,2009,hyundai,elantra touring,fair,4,gas,168596,clean,automatic,fwd,sedan
chicago,65000,1963,pontiac,tempest,excellent,8,gas,0,clean,manual,rwd,sedan
chicago,29436,2017,bmw,3 series,fair,4,gas,17598,clean,automatic,4wd,sedan
chicago,2500,2016,nissan,altima sv,excellent,4,gas,72000,clean,automatic,fwd,sedan
chicago,3900,2004,nissan,maxima 3.5 sl,good,6,gas,138000,clean,manual,fwd,sedan
chicago,2800,2000,pontiac,bonneville se,excellent,6,gas,94714,clean,automatic,fwd,sedan
chicago,12990,2007,gmc,yukon,excellent,8,gas,118042,clean,automatic,4wd,SUV
chicago,32500,2016,dodge,charger 392 srt,excellent,8,gas,58927,clean,automatic,rwd,sedan
chicago,2200,1993,mercedes-benz,benz 500sel,excellent,8,gas,158000,clean,automatic,rwd,sedan
chicago,3495,2007,ford,freestyle limited,excellent,6,gas,165439,clean,automatic,fwd,SUV
chicago,4995,2012,jeep,patriot,fair,4,gas,112000,clean,automatic,fwd,SUV
chicago,9500,2008,audi,a8 quattro,excellent,6,gas,116000,clean,automatic,4wd,sedan
chicago,4000,1980,ford,bronco,fair,8,gas,75000,clean,automatic,4wd,truck
chicago,7500,2002,ford,f-250 super duty,excellent,8,gas,113000,clean,automatic,4wd,truck
chicago,4999,2003,toyota,,excellent,6,gas,237425,clean,automatic,4wd,SUV
chicago,2400,2006,nissan,quest,good,6,gas,130000,clean,automatic,fwd,van
chicago,18975,2011,chevrolet,express,good,8,gas,77168,clean,automatic,4wd,van
chicago,10995,2011,mercedes-benz,c-class,fair,4,gas,92672,clean,automatic,fwd,sedan
chicago,1695,1998,ford,taurus se,excellent,6,gas,112548,clean,automatic,fwd,sedan
chicago,15990,2004,ford,f350 diesels powerstroke,good,8,diesel,70000,clean,automatic,4wd,truck
chicago,1800,1999,chevrolet,geo prizm,excellent,4,gas,132000,clean,automatic,fwd,sedan
chicago,23500,2011,toyota,tacoma,like new,6,gas,63091,clean,automatic,4wd,truck
